E000 | Unknown Error
E001 | Unexpected Token
E002 | Unexpected EOF
E003 | Invalid Character
E004 | Invalid Identifier
E005 | Invalid Literal
E006 | Invalid Type
E007 | Type Mismatch
E008 | Missing Semicolon
E009 | Missing Colon
E010 | Missing Comma
E011 | Missing Brace Open
E012 | Missing Brace Close
E013 | Missing Paren Open
E014 | Missing Paren Close
E015 | Missing Bracket Open
E016 | Missing Bracket Close
E017 | Duplicate Definition
E018 | Undefined Symbol
E019 | Undefined Property
E020 | Undefined Uniform
E021 | Invalid Decorator
E022 | Invalid Assignment
E023 | Illegal Operation
E024 | Out Of Range
E025 | Not Callable
E026 | NotIndexable
E027 | Not Assignable
E028 | Unexpected Keyword
E029 | Forbidden Keyword
E030 | Invalid Function Call
E031 | Wrong Parameter Count
E032 | Wrong Parameter Type
E033 | Invalid Table Syntax
E034 | Invalid Property Syntax
E035 | Invalid UniformS yntax
E036 | Missing Return
E037 | Invalid Return Type
E038 | Internal Compiler Error
E039 | IO Failure
E040 | Preprocess Failure
